Persona:int,ComunaOrigen:int,ComunaDestino:int
10052201,0,103
10052202,103,0
10052202,0,103
10052203,103,103
10052203,103,103
10052204,103,103
10052204,103,103
10052205,103,103
10053201,103,103
10053201,103,103
10054101,103,103
10054101,103,103
10054101,103,103
10054101,103,103
10054101,103,103
10054101,103,103
10054102,103,103
10054102,103,103
10054104,103,103
10054104,103,103
10054104,103,103
10054104,103,103
10056201,103,70
10056201,70,70
10056201,70,103
10056202,103,103
10056202,103,103
10057101,103,103
10057101,103,103
10057102,103,103
10057102,103,103
10057103,103,103
10057103,103,103
10057104,103,103
10057104,103,103
10057105,103,103
10057105,103,103
10058201,103,103
10058201,103,103
10058202,103,70
10058202,70,103
10059201,103,95
10059201,95,103
10059201,103,103
10059201,103,103
10059202,103,103
10059202,103,103
10059203,103,103
10059203,103,103
10060101,103,103
10060101,103,103
10060101,103,103
10060101,103,103
10060101,103,103
10060102,103,999
10060103,103,103
10060103,103,103
10060103,103,103
10060104,103,103
10060104,103,103
10060104,103,103
10061101,103,999
10061101,999,103
10061103,103,103
10061103,103,103
10061104,103,103
10061104,103,103
10062001,103,103
10062001,103,103
10062003,103,999
10062003,999,103
10062003,103,103
10062003,103,103
10062004,103,103
10062004,103,103
10062004,103,103
10062004,103,103
10062005,103,103
10062005,103,103
10062007,103,103
10062007,103,103
10062007,103,103
10062007,103,103
10063101,103,103
10063101,103,103
10063102,103,70
10063102,70,103
10064201,103,103
10064201,103,103
10064202,103,98
10064202,98,103
10064203,103,98
10064203,98,103
10064204,103,103
10064204,103,103
10065101,103,103
10065101,103,103
10066101,103,103
10066101,103,103
10066101,103,103
10066102,103,103
10066102,103,103
10066102,103,103
10066102,103,103
10067201,103,70
10067201,70,103
10067202,103,70
10067202,70,103
10067203,103,103
10067203,103,103
10067204,103,103
10067204,103,103
10067205,103,103
10067205,103,103
10067206,103,103
10067206,103,103
10068101,103,103
10068101,103,103
10068102,103,999
10068102,999,103
10068103,103,70
10068103,70,103
10068104,103,328
10068104,328,103
10069201,103,103
10069201,103,103
10069202,103,103
10069202,103,103
10070201,103,103
10070201,103,103
10070201,103,103
10070201,103,103
10071201,103,72
10071201,72,103
10071202,103,103
10071202,103,103
10071203,103,103
10071203,103,103
10072001,103,103
10072001,103,103
10072001,103,103
10072001,103,103
10072002,103,103
10072002,103,103
10072004,103,103
10072004,103,103
10072006,103,103
10072006,103,103
10073201,103,103
10073201,103,103
10073202,103,103
10073202,103,103
10073202,103,72
10073202,72,103
10073203,103,103
10073203,103,103
10073204,103,103
10073204,103,103
10073205,103,103
10073205,103,103
10073205,103,0
10073205,0,103
10073206,103,103
10073206,103,103
10073206,103,0
10073206,0,103
10074001,103,103
10074001,103,103
10075201,103,103
10075201,103,103
10075201,103,103
10075201,103,103
10075203,103,103
10075203,103,103
10076001,103,103
10076001,103,103
10076002,103,103
10076002,103,103
10076002,103,103
10076002,103,103
10076003,103,103
10076003,103,103
10076004,103,103
10076004,103,103
10077201,103,103
10077201,103,103
10077202,103,103
10077202,103,103
10077202,103,103
10077202,103,103
10077203,103,103
10077203,103,103
10078201,103,103
10078201,103,103
10078201,103,103
10078201,103,103
10079202,103,98
10079202,98,103
10079203,103,98
10079203,98,103
10079204,103,98
10079204,98,103
10080201,103,94
10080201,94,103
10080202,103,333
10080202,333,103
10080203,103,95
10080203,95,103
10081001,103,103
10081001,103,103
10081001,103,103
10081001,103,103
10081002,103,103
10081002,103,103
10081002,103,103
